total;ano;mes;ano_mes
82401;2009;1;200901
82191;2009;2;200902
91346;2009;3;200903
87789;2009;4;200904
91212;2009;5;200905
88097;2009;6;200906
91227;2009;7;200907
91338;2009;8;200908
88324;2009;9;200909
91296;2009;10;200910
88283;2009;11;200911
26496;2009;12;200912
81663;2010;1;201001
82344;2010;2;201002
90510;2010;3;201003
87656;2010;4;201004
90733;2010;5;201005
87727;2010;6;201006
90601;2010;7;201007
90391;2010;8;201008
87919;2010;9;201009
90853;2010;10;201010
87598;2010;11;201011
32005;2010;12;201012
68505;2011;1;201101
87593;2011;2;201102
96826;2011;3;201103
93901;2011;4;201104
96835;2011;5;201105
93372;2011;6;201106
97080;2011;7;201107
97092;2011;8;201108
93861;2011;9;201109
97144;2011;10;201110
77791;2011;11;201111
99803;2012;1;201201
96717;2012;2;201202
102962;2012;3;201203
100253;2012;4;201204
103645;2012;5;201205
99869;2012;6;201206
103954;2012;7;201207
102974;2012;8;201208
100051;2012;9;201209
89772;2012;10;201210
